"","pf_rol","pf_ss","pf_movement","pf_religion","pf_association","pf_expression","pf_identity","ef_government","ef_legal","ef_money","ef_trade","ef_regulation"
"Hungary",0.203256741148018,1.0415308583437,0.847208659469119,-0.0941916416719646,0.759216077021937,0.70003195046147,0.978768620737987,-1.30091338995111,0.459933730838067,1.05071379373082,0.79287436621643,0.598626985219884
"Iceland",1.51143898541811,1.3262833386745,0.847208659469119,0.40146243608319,1.14199962920249,1.20063508944719,0.735991375240531,-0.843001714033084,2.07835876053095,-0.849689906509819,0.121635801860054,0.964668150023491
"India",-0.482517772229893,-0.448546042651385,-0.362023083435443,-1.15649534086565,-0.00635102733917836,0.143318868956889,-0.477894852246747,1.00927084626438,-0.0377367203780289,-0.0305582953376582,-1.22510214565389,-0.504091193860487
"Indonesia",-0.631704915524025,0.603308566877589,-0.362023083435443,-2.12370007069711,-0.00635102733917836,-0.102405433234331,-0.235117606749291,1.08398953433977,-0.216208080001706,1.03126090389526,-0.0178674958293276,-0.570107729019026
"Iran",-0.448628384670435,-0.680316728453169,-2.78048656960734,-1.87653039790449,-1.15470168388085,-1.44194971343187,-1.28715233723827,0.320455941219266,-0.41570128022101,0.135167491812413,-2.05614543824901,-1.3075815714415
"Iraq",-1.62042119920563,-2.88407460624853,-2.78048656960734,-1.25181343265063,-0.963309907790572,-1.50114949728347,-2.25826131922809,-1.00881280013084,-1.59222844053043,-0.70440000878472,-1.50744348498138,-0.525558852101939
"Ireland",1.53713117143973,1.14980379050522,0.847208659469119,0.969865034537119,0.1850407487511,1.11965516992357,0.978768620737987,-0.139989743437716,1.63566222667656,0.724919907072857,1.33995425595727,1.40796908946859
"Israel",1.03192877667694,0.771714833630555,-2.17587069797367,-0.894644491189592,1.14199962920249,0.160473065539274,0.978768620737987,-0.188765759925533,0.615771138950237,0.828417830006781,1.01176163470151,0.383410037188517
"Italy",0.856073986418827,1.29098559549806,0.847208659469119,0.358295392165669,0.950607853112215,0.854629978586707,0.735991375240531,-0.84574613894118,0.32285521485328,0.856160195188287,1.0445221429338,0.4561179552576
"Jamaica",0.181679757718331,-1.10323102756665,0.242592787835453,1.10155738696729,0.950607853112215,1.14174060268957,-0.235117606749291,0.773291747005617,-0.0915267596718422,0.250347031442177,-0.13419841540859,0.915284322549627
"Japan",1.55476843335368,1.12856542048841,0.847208659469119,0.383932672437176,0.1850407487511,0.928248087188325,0.735991375240531,-1.59100210962709,1.54823723198866,0.917679963999101,0.40481890051893,1.1467697204089
"Jordan",0.423835785063148,-0.0609923441102864,-0.362023083435443,-0.656677944178013,-0.771918131700293,-0.676626680821667,-1.1792513393473,0.900999894365706,-0.29887757817061,0.984559286168426,0.475508189589416,0.733957005056852
